name	population	geometry
Vatican City	832	POINT (12.45338654497177 41.90328217996012)
San Marino	29000	POINT (12.44177015780014 43.936095834768)
Vaduz	5342	POINT (9.516669472907267 47.13372377429357)
Lobamba	4557	POINT (31.19999710971274 -26.46666746135247)
Luxembourg	76684	POINT (6.130002806227083 49.61166037912108)
Palikir	4645	POINT (158.1499743237623 6.916643696007725)
Majuro	20500	POINT (171.3800001757465 7.103004311216239)
Funafuti	4749	POINT (179.2166470940289 -8.516651999041073)
Melekeok	7026	POINT (134.6265484669922 7.487396172977981)
Bir Lehlou	200	POINT (-9.652522218250112 26.11916668599338)
Monaco	36371	POINT (7.406913173465057 43.73964568785249)
Tarawa	22534	POINT (173.0175708285494 1.338187505624603)
Moroni	42872	POINT (43.24024409869332 -11.70415769566847)
Andorra	22256	POINT (1.51648596050552 42.5000014435459)
Port-of-Spain	49031	POINT (-61.51703088544974 10.65199708957726)
Kigali	745261	POINT (30.05858591906411 -1.95164421006325)
Mbabane	76218	POINT (31.13333451205636 -26.31665077840921)
Juba	111975	POINT (31.58002559278731 4.829975198277964)
The Hague	501725	POINT (4.269961302313448 52.08003684397488)
Ljubljana	255115	POINT (14.51496903347413 46.0552883087945)
Bratislava	373687	POINT (17.11698075223461 48.15001832996171)
Doha	731310	POINT (51.5329678942993 25.28655600890659)
Podgorica	136473	POINT (19.26630692411823 42.46597251288171)
Sri Jawewardenepura Kotte	115826	POINT (79.94999304089748 6.900003884809621)
Baguio City	272714	POINT (120.5699425853309 16.42999066056393)
Dodoma	180541	POINT (35.75000362014765 -6.183306051766181)
Bern	121631	POINT (7.466975462482424 46.91668275866772)
Laayoune	176365	POINT (-13.20000594222267 27.14998231913546)
Pristina	198214	POINT (21.16598425159987 42.66670961411938)
Roseau	16571	POINT (-61.38701298180337 15.30101564428332)
Djibouti	604013	POINT (43.14800166705226 11.59501446425548)
Putrajaya	50000	POINT (101.7019469797865 2.914019794624551)
Kyoto	1459640	POINT (135.7480520653204 35.03193814685562)
Banjul	34589	POINT (-16.5917014892126 13.45387646031594)
Skopje	474889	POINT (21.4334614651425 42.00000612290586)
Bridgetown	96578	POINT (-59.61652673505159 13.10200258275114)
Porto-Novo	234168	POINT (2.61662552756718 6.483310973024231)
Bujumbura	331700	POINT (29.3600060615284 -3.376087220374643)
Kingstown	24518	POINT (-61.21206242027932 13.14827882786841)
Castries	10634	POINT (-61.00000818036955 14.00197348933034)
Basseterre	15500	POINT (-62.71700931969934 17.30203045548939)
Port Louis	148416	POINT (57.49999385460973 -20.16663857135325)
Saint George's	27343	POINT (-61.74164322607476 12.05263340172041)
Manama	157474	POINT (50.58305171591019 26.23613629048594)
Saint John's	24226	POINT (-61.85003381513866 17.11803651831411)
Montevideo	5324	POINT (-56.17299814703597 -34.85609570759073)
Lome	749700	POINT (1.22081126074562 6.133882930268385)
Tunis	728453	POINT (10.17967809921203 36.80277813623144)
Abu Dhabi	560230	POINT (54.36659338259199 24.46668357237991)
Ashgabat	577982	POINT (58.38329911177465 37.94999493311099)
Lusaka	1267440	POINT (28.28138173611427 -15.41469840933593)
Harare	1542813	POINT (31.04276357206282 -17.8158438357778)
Dili	193563	POINT (125.5794559317051 -8.559388408546454)
Port Vila	35901	POINT (168.3166405835686 -17.73335040402583)
Tegucigalpa	850848	POINT (-87.21947519794151 14.1039907590764)
Georgetown	235017	POINT (-58.16702864748061 6.801973692752028)
Reykjavik	113906	POINT (-21.95001448717954 64.15002361973922)
Port-au-Prince	1234742	POINT (-72.33798044690553 18.54297045473237)
Kampala	1353189	POINT (32.58137766712105 0.318604813383331)
Paramaribo	223757	POINT (-55.16703088542437 5.835030129922586)
Niamey	742791	POINT (2.114710186530374 13.51865181050647)
Dushanbe	679400	POINT (68.77387935270173 38.56003521631658)
Asuncion	11693	POINT (-57.64345102790134 -25.29445711705768)
Managua	920000	POINT (-86.27043751890119 12.15496243875612)
Freetown	13768	POINT (-13.23616159901275 8.471957271098177)
Islamabad	601600	POINT (73.16468862105955 33.70194180895959)
Kathmandu	895000	POINT (85.31469635222788 27.71863777247722)
Bloemfontein	456669	POINT (26.22991288117737 -29.1199938773787)
Pretoria	1338000	POINT (28.22748321723384 -25.70497469518443)
Port Moresby	251136	POINT (147.1925036205936 -9.464707825867777)
Honiara	56298	POINT (159.9497657336057 -9.437994295089595)
Panama City	408168	POINT (-79.53498301041077 8.969963049094872)
Rabat	1655753	POINT (-6.83640815612614 34.02530731107282)
Chisinau	635994	POINT (28.85771113965143 47.00502361967062)
Maputo	1191613	POINT (32.58721710397009 -25.95333162877898)
Mogadishu	875388	POINT (45.36473175245874 2.068627192947531)
Muscat	586861	POINT (58.59331213260884 23.61332480772813)
Colombo	217000	POINT (79.85775060925641 6.931965758182116)
Ulaanbaatar	769612	POINT (106.9146699037465 47.91861925856074)
Windhoek	262796	POINT (17.08354610054181 -22.57000608438381)
Abuja	162135	POINT (7.53138214293233 9.085279007754195)
Bissau	388028	POINT (-15.59836084132075 11.86502382298056)
Amman	1060000	POINT (35.93135406687412 31.95197110582745)
Vilnius	507029	POINT (25.3166352932829 54.68336631175862)
